date,close,open,high,low,volume,change_pct,daily_return,log_return,direction,abs_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_5d_ann,rolling_vol_21d_ann,price_range_pct,is_trading_day
2024-02-13,124.14,124.14,126.49,124.14,14950000.0,-7.50%,-0.07496274217585686,-0.07792126355207467,0.0,0.07496274217585686,0.05478752021359763,0.04491855570465497,0.8697249206106222,0.7130599658803125,0.01893024005155465,1
2024-02-14,121.8,125.52,128.0,117.0,32229999.999999996,-1.88%,-0.018849685838569386,-0.019029605709710042,0.0,0.018849685838569386,0.028152645123488224,0.04507613176421988,0.4469093864724307,0.71556140827743,0.08763543658381134,1
2024-02-15,113.5,123.5,123.9,113.15,12070000.0,-6.81%,-0.06814449917898191,-0.07057751835433926,0.0,0.06814449917898191,0.02758135022681103,0.04726070679006733,0.4378403611411016,0.7502404617099591,0.08704453441295547,1
2024-02-16,107.8,112.8,116.2,105.72,20690000.0,-5.02%,-0.05022026431718063,-0.0515251784465606,0.0,0.05022026431718063,0.025611074031918958,0.04811426976554915,0.40656319618633124,0.7637903538787024,0.09290780141843975,1
2024-02-17,107.8,112.8,116.2,105.72,20690000.0,-5.02%,-0.05022026431718063,-0.0515251784465606,0.0,0.05022026431718063,0.025611074031918958,0.04811426976554915,0.40656319618633124,0.7637903538787024,0.09290780141843975,0
2024-02-18,107.8,112.8,116.2,105.72,20690000.0,-5.02%,-0.05022026431718063,-0.0515251784465606,0.0,0.05022026431718063,0.025611074031918958,0.04811426976554915,0.40656319618633124,0.7637903538787024,0.09290780141843975,0
2024-02-19,116.02,104.5,116.02,104.5,12160000.0,7.63%,0.07625231910946195,0.07348493156302148,1.0,0.07625231910946195,0.06170872915323353,0.051258667002440264,0.979595706367784,0.8137061125507776,0.11023923444976073,1
2024-02-20,113.35,116.51,118.74,112.1,10490000.0,-2.30%,-0.023013273573521786,-0.023282213084380245,0.0,0.023013273573521786,0.05542250167341122,0.05136692917090554,0.8798049387894433,0.8154247211957117,0.05699081623894945,1
2024-02-21,117.2,116.99,118.44,114.5,6510000.0,3.40%,0.033965593295103735,0.03340150018937431,1.0,0.033965593295103735,0.05999450052947887,0.05200654340292112,0.952383170595204,0.8255782823532966,0.033678092144627726,1
2024-02-22,116.5,117.5,118.4,115.51,5780000.0,-0.60%,-0.005972696245733822,-0.0059906041371570184,0.0,0.005972696245733822,0.04902133943560277,0.04925144130876007,0.7781896384913302,0.7818423924868362,0.02459574468085107,1
2024-02-23,125.44,116.0,125.44,116.0,16620000.000000002,7.67%,0.07673819742489263,0.0739362835963424,1.0,0.07673819742489263,0.044628309046285605,0.0519859361791502,0.7084524430188353,0.8252511528174407,0.08137931034482757,1
2024-02-24,125.44,116.0,125.44,116.0,16620000.000000002,7.67%,0.07673819742489263,0.0739362835963424,1.0,0.07673819742489263,0.044628309046285605,0.0519859361791502,0.7084524430188353,0.8252511528174407,0.08137931034482757,0
2024-02-25,125.44,116.0,125.44,116.0,16620000.000000002,7.67%,0.07673819742489263,0.0739362835963424,1.0,0.07673819742489263,0.044628309046285605,0.0519859361791502,0.7084524430188353,0.8252511528174407,0.08137931034482757,0
2024-02-26,125.61,125.89,129.75,124.01,14940000.0,0.14%,0.0013552295918366486,0.0013543120970638482,1.0,0.0013552295918366486,0.03840746290636742,0.05014179017929181,0.6096995720351175,0.7959762426359216,0.04559536102947013,1
2024-02-27,120.4,125.44,125.55,120.25,10000000.0,-4.15%,-0.04147758936390411,-0.04236233582444095,0.0,0.04147758936390411,0.04383594556745203,0.048879824251203234,0.6958740627410535,0.7759431545833664,0.04225127551020406,1
2024-02-28,123.35,120.0,124.71,120.0,6720000.0,2.45%,0.024501661129568086,0.024206310100645022,1.0,0.024501661129568086,0.04290007991892384,0.0482036686467677,0.6810176561416108,0.7652095171218525,0.039249999999999945,1
