date,post_count,vader_compound_mean,vader_compound_std,vader_compound_sum,lm_net_mean,lm_net_std,lm_negative_mean,lm_positive_mean,lm_uncertainty_mean,lm_litigious_mean,pct_positive_vader,pct_negative_vader,pct_neutral_vader,pct_positive_lm,pct_negative_lm,pct_neutral_lm
2025-11-13,4,0.563225,0.3925061220329351,2.2529,-0.001644429930957268,0.0064743284481718205,0.75,0.75,0.75,0.5,1.0,0.0,0.0,0.25,0.25,0.5
2025-11-14,4,0.786125,0.2584428934342492,3.1445,-0.0012892935135991666,0.012658999524234766,1.5,1.25,2.0,0.0,1.0,0.0,0.0,0.25,0.5,0.25
2025-11-15,4,0.6779999999999999,0.46852073593385385,2.7119999999999997,-0.0010822510822510823,0.0021645021645021645,0.5,0.25,0.75,0.0,0.75,0.0,0.25,0.0,0.25,0.75
2025-11-16,9,0.26437777777777777,0.7123983239343312,2.3794,-0.0016534454386327808,0.02691204756821597,2.0,1.5555555555555556,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-11-17,2,0.8831,0.14523973285571687,1.7662,-0.01858793377556055,0.002398565434237027,13.0,5.5,5.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2025-11-18,6,0.4269833333333333,0.780129518520269,2.5619,-0.013565135053963144,0.0175330819716837,2.6666666666666665,0.6666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
2025-11-19,7,0.3383428571428571,0.9026764072415299,2.3684,-0.013701393369240344,0.013283300275068723,5.857142857142857,1.5714285714285714,2.4285714285714284,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
2025-11-20,4,0.29295,0.7305396065010211,1.1718,0.0017201834862385322,0.0034403669724770644,0.5,1.25,3.5,0.25,0.5,0.25,0.25,0.25,0.0,0.75
2025-11-21,6,0.7044166666666666,0.3740569337235532,4.2265,-0.003469308827521911,0.00793701508425808,1.5,1.1666666666666667,1.8333333333333333,0.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5
2025-11-22,14,0.5309785714285714,0.6031627120419516,7.4337,0.0014507655751172675,0.01459701640573435,0.7142857142857143,0.8571428571428571,1.2857142857142858,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.0,0.5,0.14285714285714285,0.35714285714285715
2025-11-23,7,0.25177142857142853,0.7027062584852121,1.7623999999999997,-0.006147864717069919,0.017015046814258358,1.5714285714285714,1.1428571428571428,1.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
2025-11-24,7,0.2538285714285714,0.6559276401003536,1.7768,-0.024882191951093546,0.056933634868277676,2.0,0.8571428571428571,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285
2025-11-25,5,0.5182399999999999,0.6217368599335253,2.5911999999999997,0.00584700968274618,0.0124496004691712,2.0,4.0,3.8,0.2,0.8,0.2,0.0,0.4,0.2,0.4
2025-11-26,7,0.8161857142857143,0.36304739097704325,5.7133,-0.0023748406122925995,0.005189443521503558,2.857142857142857,2.0,1.1428571428571428,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.42857142857142855
